# glossary.tsv  -  EN term  ->  preferred FA (collocation-aware).  Seed set.
# Two tiers:  (1) collocation-aware standard choices (apply by default);
#             (2) house-style / coined terms (optional) -- DEFAULT term shown first,
#                 the coinage offered in the note.  The modern-standards lens still applies:
#                 never let a coinage make the output read MORE foreign than the standard word.
# Extend with Wiktionary (kaikki, CC-BY-SA) + English-Persian Word DB - see NOTICE at skill root.
# format: EN 	 FA 	 note
business partner	شریکِ تجاری	not «شریکِ کاری» (P4)
business	کسب‌وکار	as a topic; not «تجارت» (P7)
smoking room	اتاقِ دخانیات	not «اتاقِ سیگار» (P7)
the lights went out	برق رفت	not «چراغ‌ها خاموش شد» (P12)
comic books	کتاب‌های مصور	not «کمیک‌بوک» (P33)
grim	گرفته	mood; not «عبوس» (P4)
graduate dormitory	خوابگاهِ دانشجویانِ فوق‌لیسانس و دکترا	(P33)
artichoke	کنگر	(P23)
recital	شعرخوانی	(P14)
cargo vessel	کشتیِ باری	
arranged marriage	ازدواجِ سنتی	
landlady	صاحب‌خانه	
born-again	دوآتشه	zealous/devout
omen	بدیمنی	bad luck
appointment	قرار / وقت	
schedule	برنامه / زمان‌بندی	
issue	مسئله / موضوع	
challenge	چالش	
community	جامعه	
neighborhood	محله	
downtown	مرکزِ شهر	
suburb	حومه	
commute	رفت‌وآمد	
deadline	مهلت / ضرب‌الاجل	
budget	بودجه	
mortgage	وامِ مسکن	
insurance	بیمه	
refund	بازپرداخت / استرداد	
receipt	رسید / فاکتور	
grocery store	خواروبارفروشی	
sidewalk	پیاده‌رو	
wine	شراب	
red wine	شرابِ قرمز	
beer	آبجو	
liquor	مشروب	
whiskey	ویسکی	
cognac	کنیاک	
champagne	شامپاین	
gin	جین	
vodka	ودکا	
pork	گوشتِ خوک	
bacon	بیکن	
ham	ژامبونِ خوک	
# --- (2) House-style / coined terms (optional): standard default first, coinage in note ---
artificial intelligence	هوشواره	preferred term; common alternative «هوش مصنوعی»
AI	هوشواره	preferred term; common alternative «هوش مصنوعی»
situationship	شِبهِ رابطه	no standard term; coinage is reasonable
manipulator	اهلِ دستکاریِ روانی	verb = «دستکاری روانی»; house-style coinage: «روان‌دستکاری»
Christian	مسیحی	standard; «عیسوی» is archaic/literary
sugarcoat	لاپوشانی / شیرین جلوه دادن	house-style coinage: «شکرپیچ»
lifestyle	سبکِ زندگی	common & natural; literary alt: «زیست‌شیوه»
quote	گفتاورد	accepted neologism for "a quotation"
transportation	ترابری	standard official term
transgender	تراجنسیتی	accepted term
transaction	تراکنش	standard (esp. banking)
insecure	نامطمئن / دل‌نگران	emotional sense; «متزلزل» = "unstable" (weaker fit)
sapiosexual	هوش‌محرک	niche; no standard term
context	بافت / زمینه	«بافتار» in linguistics register; use with ezafe
impression	برداشت / تأثیر	"first impression" -> «برداشتِ اول»; avoid loan «انطباع» in modern prose
military assets	اَدَواتِ نظامی	materiel / hardware
